File_Size,Record_Size,Threads,Frequency,Mean_Throughput
1024,32,1,2500000,1.7069770e+06
1024,32,1,2700000,1.8283818e+06
1024,32,1,2800000,1.8904574e+06
1024,32,1,2900000,1.6849815e+06
1024,32,1,3000000,1.8754887e+06
1024,32,1,3001000,2.1234905e+06
1024,32,2,1200000,2.6857327e+06
1024,32,2,1400000,3.2021218e+06
1024,32,2,1500000,3.3468299e+06
1024,32,2,1600000,3.3168774e+06
1024,32,2,1800000,3.3863348e+06
1024,32,2,1900000,3.3364530e+06
1024,32,2,2000000,3.2902101e+06
1024,32,2,2100000,3.8866501e+06
1024,32,2,2300000,3.8740531e+06
1024,32,2,2400000,3.6328828e+06
1024,32,2,2500000,3.2366312e+06
1024,32,2,2700000,4.1952866e+06
1024,32,2,2800000,4.1755519e+06
1024,32,2,2900000,4.1400735e+06
1024,32,2,3000000,4.1682653e+06
1024,32,2,3001000,4.5394825e+06
1024,32,4,1200000,5.5467721e+06
1024,32,4,1400000,4.9255642e+06
1024,32,4,1500000,5.3419612e+06
1024,32,4,1600000,6.2457954e+06
1024,32,4,1800000,6.5855535e+06
1024,32,4,1900000,5.7850171e+06
1024,32,4,2000000,6.3888641e+06
1024,32,4,2100000,6.4049029e+06
1024,32,4,2300000,6.8628023e+06
1024,32,4,2400000,6.3510131e+06
1024,32,4,2500000,6.3271939e+06
1024,32,4,2700000,6.4993599e+06
1024,32,4,2800000,6.6160336e+06
1024,32,4,2900000,7.3782344e+06
1024,32,4,3000000,6.3220658e+06
1024,32,4,3001000,6.8055073e+06
1024,32,8,1200000,9.3940767e+06
1024,32,8,1400000,1.1243239e+07
1024,32,8,1500000,1.1319021e+07
1024,32,8,1600000,1.1367735e+07
1024,32,8,1800000,1.1334085e+07
1024,32,8,1900000,1.0851999e+07
1024,32,8,2000000,1.1736145e+07
1024,32,8,2100000,1.1697111e+07
1024,32,8,2300000,1.3161538e+07
1024,32,8,2400000,1.4355607e+07
1024,32,8,2500000,1.2683045e+07
1024,32,8,2700000,1.3067815e+07
1024,32,8,2800000,1.1629613e+07
1024,32,8,2900000,1.4623333e+07
1024,32,8,3000000,1.2166707e+07
1024,32,8,3001000,1.2839214e+07
1024,32,16,1200000,2.0634311e+07
1024,32,16,1400000,2.3481182e+07
1024,32,16,1500000,2.2201435e+07
1024,32,16,1600000,2.5039434e+07
1024,32,16,1800000,2.5158203e+07
1024,32,16,1900000,2.2905169e+07
1024,32,16,2000000,2.6236011e+07
1024,32,16,2100000,2.6271785e+07
1024,32,16,2300000,2.2709201e+07
1024,32,16,2400000,2.9222637e+07
1024,32,16,2500000,2.6657062e+07
1024,32,16,2700000,2.8948296e+07
1024,32,16,2800000,2.7831802e+07
1024,32,16,2900000,2.5501340e+07
1024,32,16,3000000,2.7606151e+07
1024,32,16,3001000,3.0232971e+07
1024,32,32,1200000,4.9944379e+07
1024,32,32,1400000,4.7792710e+07
1024,32,32,1500000,5.3360222e+07
1024,32,32,1600000,4.9404434e+07
1024,32,32,1800000,5.1575245e+07
1024,32,32,1900000,5.7779598e+07
1024,32,32,2000000,5.6501290e+07
1024,32,32,2100000,5.2343836e+07
1024,32,32,2300000,5.9832495e+07
1024,32,32,2400000,5.8632454e+07
1024,32,32,2500000,6.2008776e+07
1024,32,32,2700000,5.5612877e+07
1024,32,32,2800000,5.9976239e+07
1024,32,32,2900000,6.1572657e+07
1024,32,32,3000000,6.2175267e+07
1024,32,32,3001000,6.1002545e+07
1024,32,64,1200000,9.7570202e+07
1024,32,64,1400000,9.0993328e+07
1024,32,64,1500000,1.0948807e+08
1024,32,64,1600000,1.0625502e+08
1024,32,64,1800000,1.0433153e+08
1024,32,64,1900000,1.1330506e+08
1024,32,64,2000000,1.2645779e+08
1024,32,64,2100000,1.2140996e+08
1024,32,64,2300000,1.3001199e+08
1024,32,64,2400000,1.3277480e+08
1024,32,64,2500000,1.3679320e+08
1024,32,64,2700000,1.3264230e+08
1024,32,64,2800000,1.2342731e+08
1024,32,64,2900000,1.4519020e+08
1024,32,64,3000000,1.3250683e+08
1024,32,64,3001000,1.2736313e+08
1024,32,128,1200000,1.8470145e+08
1024,32,128,1400000,2.1308166e+08
1024,32,128,1500000,2.1636068e+08
1024,32,128,1600000,2.2287131e+08
1024,32,128,1800000,2.1839746e+08
1024,32,128,1900000,2.3540298e+08
1024,32,128,2000000,2.3295541e+08
1024,32,128,2100000,2.3816319e+08
1024,32,128,2300000,2.4627291e+08
1024,32,128,2400000,2.7571577e+08
1024,32,128,2500000,2.8490186e+08
1024,32,128,2700000,2.8983080e+08
1024,32,128,2800000,2.8487410e+08
1024,32,128,2900000,2.8895409e+08
1024,32,128,3000000,2.7872385e+08
1024,32,128,3001000,3.1403181e+08
1024,32,256,1200000,3.8943273e+08
1024,32,256,1400000,4.2206064e+08
1024,32,256,1500000,3.9086599e+08
1024,32,256,1600000,3.9829327e+08
1024,32,256,1800000,4.5802495e+08
1024,32,256,1900000,4.1984680e+08
1024,32,256,2000000,4.7890577e+08
1024,32,256,2100000,4.7152314e+08
1024,32,256,2300000,5.0946820e+08
1024,32,256,2400000,5.2627810e+08
1024,32,256,2500000,5.4455789e+08
1024,32,256,2700000,5.7510565e+08
1024,32,256,2800000,5.5258622e+08
1024,32,256,2900000,6.1723646e+08
1024,32,256,3000000,6.6071263e+08
1024,32,256,3001000,6.7671645e+08
1024,128,1,1200000,1.2590784e+06
1024,128,1,1400000,1.4088498e+06
1024,128,1,1500000,1.5063595e+06
1024,128,1,1600000,1.3345902e+06
1024,128,1,1800000,1.6106926e+06
1024,128,1,1900000,1.7280317e+06
1024,128,1,2000000,1.7614836e+06
1024,128,1,2100000,1.7077992e+06
1024,128,1,2300000,1.4999478e+06
1024,128,1,2400000,1.4991157e+06
1024,128,1,2500000,1.7286641e+06
1024,128,1,2700000,1.5482967e+06
1024,128,1,2800000,1.6980673e+06
1024,128,1,2900000,1.4579851e+06
1024,128,1,3000000,1.4689178e+06
1024,128,1,3001000,1.4105874e+06
1024,128,2,1200000,3.0119060e+06
1024,128,2,1400000,2.7222559e+06
1024,128,2,1500000,2.9459738e+06
1024,128,2,1600000,3.1031328e+06
1024,128,2,1800000,2.9509469e+06
1024,128,2,1900000,3.5729082e+06
1024,128,2,2000000,2.8921121e+06
1024,128,2,2100000,3.2788892e+06
1024,128,2,2300000,3.9595691e+06
1024,128,2,2400000,3.6431026e+06
1024,128,2,2500000,3.7568083e+06
1024,128,2,2700000,3.5174007e+06
1024,128,2,2800000,3.8139742e+06
1024,128,2,2900000,3.4644486e+06
1024,128,2,3000000,3.8007548e+06
1024,128,2,3001000,3.5418345e+06
1024,128,4,1200000,4.7504362e+06
1024,128,4,1400000,5.3253417e+06
1024,128,4,1500000,5.7768500e+06
1024,128,4,1600000,5.3514702e+06
1024,128,4,1800000,4.7919669e+06
1024,128,4,1900000,6.2450246e+06
1024,128,4,2000000,6.3486335e+06
1024,128,4,2100000,6.1957973e+06
1024,128,4,2300000,5.6046469e+06
1024,128,4,2400000,5.8131727e+06
1024,128,4,2500000,6.2852145e+06
1024,128,4,2700000,6.7239915e+06
1024,128,4,2800000,6.0438761e+06
1024,128,4,2900000,6.3841857e+06
1024,128,4,3000000,6.3410010e+06
1024,128,4,3001000,7.1399824e+06
1024,128,8,1200000,1.0029178e+07
1024,128,8,1400000,1.0173777e+07
1024,128,8,1500000,1.0411038e+07
1024,128,8,1600000,1.1722979e+07
1024,128,8,1800000,9.9686438e+06
1024,128,8,1900000,1.0894120e+07
1024,128,8,2000000,1.1839909e+07
1024,128,8,2100000,1.1294934e+07
1024,128,8,2300000,1.2307165e+07
1024,128,8,2400000,1.1046451e+07
1024,128,8,2500000,1.0883425e+07
1024,128,8,2700000,1.2665438e+07
1024,128,8,2800000,1.2666995e+07
1024,128,8,2900000,1.2213362e+07
1024,128,8,3000000,1.3523854e+07
1024,128,8,3001000,1.2078695e+07
1024,128,16,1200000,1.9929183e+07
1024,128,16,1400000,2.3496552e+07
1024,128,16,1500000,2.2611313e+07
1024,128,16,1600000,2.2469732e+07
1024,128,16,1800000,2.2385975e+07
1024,128,16,1900000,2.3448298e+07
1024,128,16,2000000,2.5428740e+07
1024,128,16,2100000,2.4852253e+07
1024,128,16,2300000,2.5167938e+07
1024,128,16,2400000,2.6031014e+07
1024,128,16,2500000,2.6072048e+07
1024,128,16,2700000,2.5465989e+07
1024,128,16,2800000,2.4572626e+07
1024,128,16,2900000,2.8523937e+07
1024,128,16,3000000,2.5629744e+07
1024,128,16,3001000,2.8496335e+07
1024,128,32,1200000,4.7180196e+07
1024,128,32,1400000,4.4367739e+07
1024,128,32,1500000,4.3892355e+07
1024,128,32,1600000,4.8177092e+07
1024,128,32,1800000,5.2110128e+07
1024,128,32,1900000,5.1264838e+07
1024,128,32,2000000,5.1667449e+07
1024,128,32,2100000,4.9684925e+07
1024,128,32,2300000,5.3300515e+07
1024,128,32,2400000,5.2459305e+07
1024,128,32,2500000,5.8154573e+07
1024,128,32,2700000,5.6566684e+07
1024,128,32,2800000,5.7443305e+07
1024,128,32,2900000,6.0782890e+07
1024,128,32,3000000,5.8891796e+07
1024,128,32,3001000,5.5887650e+07
1024,128,64,1200000,9.6935397e+07
1024,128,64,1400000,9.7234157e+07
1024,128,64,1500000,9.1754715e+07
1024,128,64,1600000,9.8759804e+07
1024,128,64,1800000,1.1086585e+08
1024,128,64,1900000,1.1062241e+08
1024,128,64,2000000,1.1152705e+08
1024,128,64,2100000,1.1333458e+08
1024,128,64,2300000,1.3018116e+08
1024,128,64,2400000,1.2530960e+08
1024,128,64,2500000,1.2538537e+08
1024,128,64,2700000,1.3120830e+08
1024,128,64,2800000,1.3476398e+08
1024,128,64,2900000,1.2767000e+08
1024,128,64,3000000,1.3075506e+08
1024,128,64,3001000,1.3717006e+08
1024,128,128,1200000,1.8386872e+08
1024,128,128,1400000,2.0166092e+08
1024,128,128,1500000,2.0432066e+08
1024,128,128,1600000,2.0619274e+08
1024,128,128,1800000,2.0870194e+08
1024,128,128,1900000,2.0975324e+08
1024,128,128,2000000,2.2628473e+08
1024,128,128,2100000,2.3684844e+08
1024,128,128,2300000,2.5341631e+08
1024,128,128,2400000,2.5612910e+08
1024,128,128,2500000,2.4889756e+08
1024,128,128,2700000,2.5822643e+08
1024,128,128,2800000,2.8641022e+08
1024,128,128,2900000,2.8933841e+08
1024,128,128,3000000,3.0824525e+08
1024,128,128,3001000,3.3929394e+08
1024,128,256,1200000,3.6574496e+08
1024,128,256,1400000,3.9898537e+08
1024,128,256,1500000,3.8443771e+08
1024,128,256,1600000,3.9477247e+08
1024,128,256,1800000,4.3569149e+08
1024,128,256,1900000,4.6673944e+08
1024,128,256,2000000,4.6154833e+08
1024,128,256,2100000,4.9935044e+08
1024,128,256,2300000,5.1174547e+08
1024,128,256,2400000,4.8630305e+08
1024,128,256,2500000,5.3508833e+08
1024,128,256,2700000,5.6186359e+08
1024,128,256,2800000,5.7451819e+08
1024,128,256,2900000,5.8615317e+08
1024,128,256,3000000,5.8718815e+08
1024,128,256,3001000,6.4375510e+08
1024,512,1,1200000,9.6892487e+05
1024,512,1,1400000,9.6823474e+05
1024,512,1,1500000,1.0629022e+06
1024,512,1,1600000,1.0961466e+06
1024,512,1,1800000,1.0691816e+06
1024,512,1,1900000,1.1576236e+06
1024,512,1,2000000,1.0893077e+06
1024,512,1,2100000,1.1326709e+06
1024,512,1,2300000,1.1397633e+06
1024,512,1,2400000,1.2377968e+06
1024,512,1,2500000,1.1918419e+06
1024,512,1,2700000,1.2573057e+06
1024,512,1,2800000,1.2013105e+06
1024,512,1,2900000,1.2200128e+06
1024,512,1,3000000,1.2060884e+06
1024,512,1,3001000,1.2143286e+06
1024,512,2,1200000,2.0107001e+06
1024,512,2,1400000,1.8911325e+06
1024,512,2,1500000,2.1955453e+06
1024,512,2,1600000,2.2520761e+06
1024,512,2,1800000,2.1438712e+06
1024,512,2,1900000,2.3560301e+06
1024,512,2,2000000,2.2307530e+06
1024,512,2,2100000,2.4429214e+06
1024,512,2,2300000,2.3713172e+06
1024,512,2,2400000,2.4466382e+06
1024,512,2,2500000,2.5534330e+06
1024,512,2,2700000,2.5533950e+06
1024,512,2,2800000,2.7577213e+06
1024,512,2,2900000,2.6793093e+06
1024,512,2,3000000,2.7549591e+06
1024,512,2,3001000,2.8750951e+06
1024,512,4,1200000,3.5361833e+06
1024,512,4,1400000,4.0542040e+06
1024,512,4,1500000,4.2218482e+06
1024,512,4,1600000,4.4048302e+06
1024,512,4,1800000,4.1198803e+06
1024,512,4,1900000,4.3946075e+06
1024,512,4,2000000,4.1107291e+06
1024,512,4,2100000,4.4697635e+06
1024,512,4,2300000,4.3274430e+06
1024,512,4,2400000,4.3186484e+06
1024,512,4,2500000,5.0884505e+06
1024,512,4,2700000,4.6990593e+06
1024,512,4,2800000,4.9868835e+06
1024,512,4,2900000,4.6568638e+06
1024,512,4,3000000,4.6747185e+06
1024,512,4,3001000,4.6723446e+06
1024,512,8,1200000,7.6488432e+06
1024,512,8,1400000,8.4912936e+06
1024,512,8,1500000,8.7279416e+06
1024,512,8,1600000,8.7211384e+06
1024,512,8,1800000,9.2583930e+06
1024,512,8,1900000,9.4652455e+06
1024,512,8,2000000,8.8750306e+06
1024,512,8,2100000,9.5747592e+06
1024,512,8,2300000,9.0470472e+06
1024,512,8,2400000,1.0356583e+07
1024,512,8,2500000,1.0053882e+07
1024,512,8,2700000,1.0038631e+07
1024,512,8,2800000,1.0415357e+07
1024,512,8,2900000,1.0147055e+07
1024,512,8,3000000,1.0281783e+07
1024,512,8,3001000,1.0391050e+07
1024,512,16,1200000,1.6714692e+07
1024,512,16,1400000,1.7463509e+07
1024,512,16,1500000,1.8584098e+07
1024,512,16,1600000,1.8873747e+07
1024,512,16,1800000,1.9421278e+07
1024,512,16,1900000,2.0355948e+07
1024,512,16,2000000,2.0292608e+07
1024,512,16,2100000,2.0769661e+07
1024,512,16,2300000,2.1391638e+07
1024,512,16,2400000,2.1071093e+07
1024,512,16,2500000,2.1957078e+07
1024,512,16,2700000,2.2208516e+07
1024,512,16,2800000,2.2370876e+07
1024,512,16,2900000,2.3678892e+07
1024,512,16,3000000,2.2324076e+07
1024,512,16,3001000,2.3282701e+07
1024,512,32,1200000,3.4537277e+07
1024,512,32,1400000,3.6940610e+07
1024,512,32,1500000,3.8881482e+07
1024,512,32,1600000,3.8910678e+07
1024,512,32,1800000,4.1641334e+07
1024,512,32,1900000,4.2522814e+07
1024,512,32,2000000,4.3427423e+07
1024,512,32,2100000,4.3388823e+07
1024,512,32,2300000,4.4902037e+07
1024,512,32,2400000,4.6165327e+07
1024,512,32,2500000,4.7597395e+07
1024,512,32,2700000,4.5547479e+07
1024,512,32,2800000,4.6962945e+07
1024,512,32,2900000,4.9104373e+07
1024,512,32,3000000,4.8879405e+07
1024,512,32,3001000,4.8980731e+07
1024,512,64,1200000,6.7544891e+07
1024,512,64,1400000,7.9268239e+07
1024,512,64,1500000,8.1039874e+07
1024,512,64,1600000,8.2594546e+07
1024,512,64,1800000,8.7604420e+07
1024,512,64,1900000,8.9420256e+07
1024,512,64,2000000,8.9406763e+07
1024,512,64,2100000,9.2772344e+07
1024,512,64,2300000,1.0092451e+08
1024,512,64,2400000,1.0430033e+08
1024,512,64,2500000,1.0992321e+08
1024,512,64,2700000,1.1146969e+08
1024,512,64,2800000,1.1334167e+08
1024,512,64,2900000,1.1427355e+08
1024,512,64,3000000,1.0332824e+08
1024,512,64,3001000,1.1198719e+08
1024,512,128,1200000,1.3878539e+08
1024,512,128,1400000,1.5531303e+08
1024,512,128,1500000,1.6113161e+08
1024,512,128,1600000,1.6629532e+08
1024,512,128,1800000,1.7082959e+08
1024,512,128,1900000,1.7553152e+08
1024,512,128,2000000,1.8251397e+08
1024,512,128,2100000,1.9174776e+08
1024,512,128,2300000,2.0533248e+08
1024,512,128,2400000,2.0733779e+08
1024,512,128,2500000,2.1881775e+08
1024,512,128,2700000,2.4032138e+08
1024,512,128,2800000,2.3938690e+08
1024,512,128,2900000,2.4599362e+08
1024,512,128,3000000,2.5628283e+08
1024,512,128,3001000,2.9099834e+08
1024,512,256,1200000,2.7500263e+08
1024,512,256,1400000,3.0706198e+08
1024,512,256,1500000,3.2108284e+08
1024,512,256,1600000,3.2960643e+08
1024,512,256,1800000,3.3375015e+08
1024,512,256,1900000,3.5735849e+08
1024,512,256,2000000,3.5563477e+08
1024,512,256,2100000,3.8348217e+08
1024,512,256,2300000,4.0972889e+08
1024,512,256,2400000,4.0977723e+08
1024,512,256,2500000,4.3656299e+08
1024,512,256,2700000,4.7972087e+08
1024,512,256,2800000,4.7250925e+08
1024,512,256,2900000,5.0619279e+08
1024,512,256,3000000,5.0839357e+08
1024,512,256,3001000,5.8203018e+08
